sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
by-province-land-vehicles-eastern						23,800.00	23,262	22,473.00	21,551	20,820	19,275	17,872	18,734	18,592	17,111	8,171	9,632	9,355	9,800	9,753	7,841	6,892	5,929	4,931	4,892	3,788	3,458																																																																										
by-province-land-vehicles-north-western						15,333.00	15,483	15,931.00	15,810	16,031	15,020	13,953	14,518	14,920	14,073	28,301	13,676	14,024	21,325	21,311	13,079	11,666	10,625	11,112	11,693	10,296	10,274																																																																										
by-province-land-vehicles-north-central						12,235.00	11,599	11,417.00	11,337	11,228	9,682	7,691	8,748	8,498	8,121	11,009	6,022	5,566	7,132	7,749	5,779	5,924	6,191	6,147	5,695	5,770	5,868																																																																										
by-province-land-vehicles-uva						11,728.00	11,350	9,555.00	9,504	9,099	8,201	6,915	7,355	7,491	7,198	8,231	6,771	5,980	6,395	5,934	4,797	4,431	3,588	3,733	3,533	3,448	3,612																																																																										
by-province-land-vehicles-sabaragamuwa						2,769.00	3,131	2,952.00	3,360	3,023	3,478	3,178	3,278	2,717	1,510	12,804	1,487	3,287	2,932	2,719	2,014	2,360	2,038	1,197	2,029	2,195	2,864																																																																										
by-province-land-vehicles-all-island						113,840	114,298	108,176	105,193	108,849	100,433	92,468	99,230	98,904	93,053	201,087	75,093	75,302	92,028	87,650	71,362	63,863	58,974	55,431	55,266	52,199																																																																											
by-province-goods-transport-vehicles-western						87,269.00	95,445	79,930.00	76,789	96,106	94,811	91,538	92,548	92,962	92,067	15,404	82,192	82,254	83,891	78,609	82,405	62,381	67,428	55,836	53,624	53,910	52,049																																																																										
by-province-goods-transport-vehicles-central						23,659.00	24,048	24,812.00	24,501	22,816	21,005	20,314	22,331	22,491	21,057	4,607	20,741	20,111	19,244	17,774	16,275	14,878	14,534	14,819	14,919	8,852	8,432																																																																										
by-province-goods-transport-vehicles-southern						22,260.00	22,325	22,997.00	24,016	21,079	21,844	20,299	19,660	20,222	20,212	15,836	17,966	16,890	23,619	15,197	11,754	10,978	10,465	9,415	8,904	8,212	7,223																																																																										
by-province-goods-transport-vehicles-northern						5,214.00	4,929	5,212.00	5,771	3,837	3,766	3,744	4,082	6,030	4,091	4,653	1,291	911	1,916	2,766	2,776	1,798	1,278	808	430	2	2																																																																										
by-province-goods-transport-vehicles-eastern						7,468.00	7,190	7,977.00	7,096	6,672	6,231	6,008	6,348	6,555	6,792	16,019	4,308	4,192	3,867	3,921	3,285	2,811	2,549	1,907	2,129	1,251	1,280																																																																										
by-province-goods-transport-vehicles-north-western						33,669.00	34,092	35,761.00	34,994	32,033	32,867	31,136	31,143	31,233	30,739	12,124	30,252	22,489	22,965	21,411	17,135	15,054	14,664	12,873	12,542	10,668	11,036																																																																										
by-province-goods-transport-vehicles-north-central						12,744.00	12,520	12,644.00	12,315	12,002	12,055	10,838	12,177	12,348	12,028	7,994	7,965	8,374	6,698	5,978	6,240	4,956	4,647	3,604	4,168	2,686	2,670																																																																										
by-province-goods-transport-vehicles-uva						11,869.00	12,557	11,390.00	10,526	10,390	10,144	8,992	9,226	9,560	9,010	5,754	8,867	6,810	7,873	7,088	6,284	5,685	5,085	4,722	3,678	4,090	3,566																																																																										
by-province-goods-transport-vehicles-sabaragamuwa						18,304.00	18,829	18,329.00	18,485	16,325	16,896	16,102	15,811	13,538	11,791	2,915	11,454	10,393	11,972	9,070	8,103	7,071	6,935	5,902	5,415	4,792	4,376																																																																										
by-province-goods-transport-vehicles-all-island						222,456	231,935	219,052	214,493	221,260	219,619	208,971	213,326	214,939	207,787	85,306	185,036	172,424	182,045	161,814	154,257	125,612	127,585	109,886	105,809	94,465																																																																											
